tag_id,tag_type,street_name,vehicle_name,traffic_sign_type,location_226,location_316
{number},"StreetName, TrafficSign, Light, Localization, Vehicle",{name},{vehicle name},"stop, yield, no-right-turn, no-left-turn, do-not-enter, oneway-right, oneway-left, 4-way-intersect, right-T-intersect, left-T-intersect, T-intersection, pedestrian, t-light-ahead, duck-crossing",,
,,StreetName,Vehicle,TrafficSign,,
1,TrafficSign,,,stop,,
2,TrafficSign,,,yield,,
3,TrafficSign,,,no-right-turn,,
4,TrafficSign,,,no-left-turn,,
5,TrafficSign,,,do-not-enter,,
6,TrafficSign,,,oneway-right,,
7,TrafficSign,,,oneway-left,,
8,TrafficSign,,,4-way-intersect,,
9,TrafficSign,,,right-T-intersect,,
10,TrafficSign,,,left-T-intersect,,
11,TrafficSign,,,T-intersection,,
12,TrafficSign,,,pedestrian,,
13,TrafficSign,,,4-way-intersect,,
14,TrafficSign,,,4-way-intersect,,
15,TrafficSign,,,4-way-intersect,,
16,TrafficSign,,,4-way-intersect,,
17,TrafficSign,,,4-way-intersect,,
18,TrafficSign,,,4-way-intersect,,
19,TrafficSign,,,4-way-intersect,,
20,TrafficSign,,,stop,,
21,TrafficSign,,,stop,,
22,TrafficSign,,,stop,,
23,TrafficSign,,,stop,,
24,TrafficSign,,,stop,,
25,TrafficSign,,,stop,,
26,TrafficSign,,,stop,,
27,TrafficSign,,,stop,,
28,TrafficSign,,,stop,,
29,TrafficSign,,,stop,,
30,TrafficSign,,,stop,,
31,TrafficSign,,,stop,,
32,TrafficSign,,,stop,,
33,TrafficSign,,,stop,,
34,TrafficSign,,,stop,,
35,TrafficSign,,,stop,,
36,TrafficSign,,,stop,,
37,TrafficSign,,,stop,,
38,TrafficSign,,,stop,,
39,TrafficSign,,,yield,,
40,TrafficSign,,,no-right-turn,,
41,TrafficSign,,,no-left-turn,,
42,TrafficSign,,,oneway-right,,
43,TrafficSign,,,oneway-left,,
44,TrafficSign,,,4-way-intersect,,
45,TrafficSign,,,4-way-intersect,,
46,TrafficSign,,,4-way-intersect,,
47,TrafficSign,,,4-way-intersect,,
48,TrafficSign,,,4-way-intersect,,
49,TrafficSign,,,4-way-intersect,,
50,TrafficSign,,,4-way-intersect,,
51,TrafficSign,,,4-way-intersect,,
52,TrafficSign,,,4-way-intersect,,
53,TrafficSign,,,4-way-intersect,,
54,TrafficSign,,,4-way-intersect,,
55,TrafficSign,,,4-way-intersect,,
56,TrafficSign,,,4-way-intersect,,
57,TrafficSign,,,right-T-intersect,,
58,TrafficSign,,,right-T-intersect,,
59,TrafficSign,,,right-T-intersect,,
60,TrafficSign,,,right-T-intersect,,
61,TrafficSign,,,left-T-intersect,,
62,TrafficSign,,,left-T-intersect,,
63,TrafficSign,,,left-T-intersect,,
64,TrafficSign,,,left-T-intersect,,
65,TrafficSign,,,T-intersection,,
66,TrafficSign,,,T-intersection,,
67,TrafficSign,,,T-intersection,,
68,TrafficSign,,,T-intersection,,
69,TrafficSign,,,do-not-enter,,
70,TrafficSign,,,pedestrian,,
71,TrafficSign,,,pedestrian,,
72,TrafficSign,,,pedestrian,,
73,TrafficSign,,,pedestrian,,
74,TrafficSign,,,t-light-ahead,,
75,TrafficSign,,,t-light-ahead,,
76,TrafficSign,,,t-light-ahead,,
77,TrafficSign,,,t-light-ahead,,
78,TrafficSign,,,t-light-ahead,,
79,TrafficSign,,,t-light-ahead,,
80,TrafficSign,,,t-light-ahead,,
81,TrafficSign,,,t-light-ahead,,
82,TrafficSign,,,t-light-ahead,,
83,TrafficSign,,,t-light-ahead,,
84,TrafficSign,,,t-light-ahead,,
85,TrafficSign,,,t-light-ahead,,
86,TrafficSign,,,t-light-ahead,,
87,TrafficSign,,,t-light-ahead,,
88,TrafficSign,,,t-light-ahead,,
89,TrafficSign,,,t-light-ahead,,
90,TrafficSign,,,t-light-ahead,,
91,TrafficSign,,,t-light-ahead,,
92,TrafficSign,,,t-light-ahead,,
93,TrafficSign,,,t-light-ahead,,
94,TrafficSign,,,t-light-ahead,,
95,TrafficSign,,,duck-crossing,,
96,TrafficSign,,,duck-crossing,,
97,TrafficSign,,,duck-crossing,,
98,TrafficSign,,,duck-crossing,,
99,TrafficSign,,,duck-crossing,,
100,TrafficSign,,,duck-crossing,,
101,TrafficSign,,,duck-crossing,,
102,TrafficSign,,,duck-crossing,,
103,TrafficSign,,,duck-crossing,,
104,TrafficSign,,,duck-crossing,,
105,TrafficSign,,,duck-crossing,,
106,TrafficSign,,,duck-crossing,,
107,TrafficSign,,,duck-crossing,,
108,TrafficSign,,,duck-crossing,,
109,TrafficSign,,,duck-crossing,,
110,TrafficSign,,,duck-crossing,,
111,TrafficSign,,,duck-crossing,,
112,TrafficSign,,,duck-crossing,,
113,TrafficSign,,,duck-crossing,,
114,TrafficSign,,,duck-crossing,,
115,TrafficSign,,,duck-crossing,,
116,TrafficSign,,,duck-crossing,,
117,TrafficSign,,,duck-crossing,,
118,TrafficSign,,,duck-crossing,,
119,TrafficSign,,,duck-crossing,,
120,TrafficSign,,,duck-crossing,,
121,TrafficSign,,,duck-crossing,,
122,TrafficSign,,,duck-crossing,,
123,TrafficSign,,,duck-crossing,,
124,TrafficSign,,,duck-crossing,,
125,TrafficSign,,,duck-crossing,,
200,Light,,,,,
201,Light,,,,,
202,Light,,,,,
203,Light,,,,,
204,Light,,,,,
205,Light,,,,,
