"#","bag file","joycmdval","joy [msec]","wheels_cmd_exec  [msec]","cam static [msec]","cam moved [msec]",,"dT joy-wheel","dT wheel-imgstat","dT  wheel-imgmov","dT imgstat-imgmov",,
3,"2016-03-31-10-24-47",0.83,749.63,764.63,808.39,839.88,,"=E2-D2","=F2-E2","=G2-E2","=G2-F2",,
4,"2016-03-31-15-34-05",0.84,76.285,93.6,117.2,147.44,,"=E3-D3","=F3-E3","=G3-E3","=G3-F3",,
5,"2016-03-31-15-51-44",0.93,638.33,653.84,685.51,719.89,,"=E4-D4","=F4-E4","=G4-E4","=G4-F4",,
6,"2016-03-31-16-05-25",-0.72,892,906.43,945.9,977.54,,"=E5-D5","=F5-E5","=G5-E5","=G5-F5",,
7,"2016-03-31-17-14-25",-0.38,307.88,322.96,365.2,393.53,,"=E6-D6","=F6-E6","=G6-E6","=G6-F6",,
8,"2016-03-31-19-15-10",-1,420,441,487.59,521.73,,"=E7-D7","=F7-E7","=G7-E7","=G7-F7",,
9,"2016-03-31-19-15-10",-1,399,414,451.28,484.28,,"=E8-D8","=F8-E8","=G8-E8","=G8-F8",,
10,"2016-03-31-19-15-10",-1,46.88,63.85,84.05,116.11,,"=E9-D9","=F9-E9","=G9-E9","=G9-F9",,
11,"2016-03-31-19-15-10",-0.81,249.81,265.77,312.79,344.75,,"=E10-D10","=F10-E10","=G10-E10","=G10-F10",,
12,"2016-03-31-19-15-10",-0.78,296.55,312.16,342.16,375.05,,"=E11-D11","=F11-E11","=G11-E11","=G11-F11",,
13,"2016-03-31-19-15-10",-0.86,79.69,95.29,139.23,172.16,,"=E12-D12","=F12-E12","=G12-E12","=G12-F12",,
14,"2016-03-31-19-15-10",-1,830,849,868.66,905.52,,"=E13-D13","=F13-E13","=G13-E13","=G13-F13",,
15,"2016-03-31-19-15-10",-0.94,585,599.85,634.68,667.22,,"=E14-D14","=F14-E14","=G14-E14","=G14-F14",,
16,"2016-03-31-19-15-10",-1,4.44,19.15,29.78,63.83,,"=E15-D15","=F15-E15","=G15-E15","=G15-F15",,
17,"2016-03-31-19-15-10",-0.94,279.08,293.36,326.78,359.64,,"=E16-D16","=F16-E16","=G16-E16","=G16-F16",,
,,,,,,,,,,,,,"Overall Latency:"
,,,,,,,"Min Latency","=MIN(I2:I16)","=MIN(J2:J16)","=MIN(K2:K16)","=MIN(L2:L16)",,"=K18+I18"
,,,,,,,"Average Latency:","=AVERAGE(I2:I16)","=AVERAGE(J2:J16)","=AVERAGE(K2:K16)","=AVERAGE(L2:L16)",,"=K19+I19"
,,,,,,,"Max Latency","=MAX(I2:I16)","=MAX(J2:J16)","=MAX(K2:K16)","=MAX(L2:L16)",,"=K20+I20"
,,,,,,,"Delta Max/Min","=I20-I18","=J20-J18","=K20-K18","=L20-L18",,"=K21+I21"
