"#","bag file","joycmdval","joy [msec]","wheels_cmd_exec  [msec]","cam static [msec]","cam moved [msec]",,"dT joy-wheel","dT wheel-imgstat","dT  wheel-imgmov","dT imgstat-imgmov",,,,,
1,"2016-03-31-20-27-35",0.485,698,725.21,773.28,808.6,,"=E2-D2","=F2-E2","=G2-E2","=G2-F2",,,,,
2,"2016-03-31-20-27-35",0.277,450.9,495.19,506.24,540.58,,"=E3-D3","=F3-E3","=G3-E3","=G3-F3",,,,,
3,"2016-03-31-20-27-35",-0.53,859.1,889.65,904.5,938.77,,"=E4-D4","=F4-E4","=G4-E4","=G4-F4",,,,,
4,"2016-03-31-20-27-35",-0.82,99.35,123.29,139.88,170.6,,"=E5-D5","=F5-E5","=G5-E5","=G5-F5",,,,,
5,"2016-03-31-20-27-35",-0.516,812,823.27,869.04,902.5,,"=E6-D6","=F6-E6","=G6-E6","=G6-F6",,,,,
,,,,,,,,"=E7-D7","=F7-E7","=G7-E7","=G7-F7",,,,,
,,,,,,,,"=E8-D8","=F8-E8","=G8-E8","=G8-F8",,,,,
,,,,,,,,"=E9-D9","=F9-E9","=G9-E9","=G9-F9",,,,,
,,,,,,,,"=E10-D10","=F10-E10","=G10-E10","=G10-F10",,,,,
,,,,,,,,"=E11-D11","=F11-E11","=G11-E11","=G11-F11",,,,,
,,,,,,,,"=E12-D12","=F12-E12","=G12-E12","=G12-F12",,,,,
,,,,,,,,"=E13-D13","=F13-E13","=G13-E13","=G13-F13",,,,,
,,,,,,,,"=E14-D14","=F14-E14","=G14-E14","=G14-F14",,,,,
,,,,,,,,"=E15-D15","=F15-E15","=G15-E15","=G15-F15",,,,,
,,,,,,,,"=E16-D16","=F16-E16","=G16-E16","=G16-F16",,,,,
,,,,,,,,,,,,,"Overall Latency:",,,
,,,,,,,"Min Latency","=MIN(I2:I6)","=MIN(J2:J6)","=MIN(K2:K6)","=MIN(L2:L6)",,"=K18+I18",,,
,,,,,,,"Average Latency:","=AVERAGE(I2:I6)","=AVERAGE(J2:J6)","=AVERAGE(K2:K6)","=AVERAGE(L2:L6)",,"=K19+I19",,,
,,,,,,,"Max Latency","=MAX(I2:I6)","=MAX(J2:J6)","=MAX(K2:K6)","=MAX(L2:L6)",,"=K20+I20",,,
,,,,,,,"Delta Max/Min","=I20-I18","=J20-J18","=K20-K18","=L20-L18",,"=K21+I21",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Overall Latency:"
